User Id,Book Id,Rating
0,3037529,2
0,3032069,3
0,3016524,4
0,3000106,1
0,2945602,1
0,2922965,5
0,3028668,2
0,3004567,3
0,2988667,3
0,2960202,1
0,2631084,5
0,2855352,1
0,2965171,1
0,2122810,4
0,2984402,1
0,3038711,1
0,2841468,4
0,2713804,3
0,2706066,3
0,2931056,4
0,3030263,2
0,3017913,3
0,3026712,2
0,2628340,1
0,3021548,3
0,2398280,4
0,2849734,1
0,2879215,1
0,3036114,1
0,2668287,1
0,2785003,2
0,2947119,5
0,3017553,2
0,2726646,1
0,3039713,5
0,3033405,1
0,3008054,2
0,2969334,1
0,3009454,5
0,2513489,3
0,2961690,5
0,2563795,1
0,2964863,4
0,2921459,1
0,3038467,1
0,2918557,2
0,2920027,4
0,2942271,3
0,2831024,3
0,2997180,2
0,2679031,3
0,3019159,1
0,2828297,5
0,3007950,3
0,2952876,1
0,3008458,2
0,3016099,3
0,2967290,3
0,2651019,1
0,2994043,1
0,2918511,5
0,3028680,3
0,2930507,5
0,3035863,5
0,3025628,2
0,3005247,5
0,2620486,5
0,2821531,4
0,3025496,5
0,3019202,5
0,2998204,3
0,2897149,3
0,2964575,3
0,3039486,3
0,2479624,1
0,3024399,1
0,3038097,3
0,3020521,2
0,2597420,4
0,2818370,5
0,2507242,4
0,2966236,4
0,2982764,1
0,2990828,5
0,3012537,1
0,2909344,3
0,2815600,2
0,2947284,2
0,2901970,3
0,2559690,1
1,2496432,3
1,2892265,3
1,2853350,2
1,3008635,4
1,2813013,1
1,2717752,2
1,2935210,2
1,2945596,1
1,3041341,3
1,2749205,3
1,2459705,2
1,3007345,3
1,3006209,2
1,3017010,1
1,3003169,5
1,3036611,5
1,3034416,2
1,3035212,5
1,3028241,1
1,2986829,2
1,3034619,5
1,2486093,2
1,2945497,4
1,2859077,2
1,3019280,5
1,3031947,1
1,2691881,3
1,2964905,5
1,2460152,1
1,2735747,5
1,3026451,5
1,2765575,2
1,2483887,4
1,2869978,1
1,2984434,2
1,2781929,2
1,3038613,4
1,2592065,2
1,3040981,5
1,2946026,1
1,2860249,5
1,3010340,4
1,3041348,4
1,3035780,1
1,2931598,5
1,3041686,2
1,3028166,3
1,2986953,3
1,3031689,4
1,2749185,2
1,3031075,4
1,2943162,2
1,2947261,5
1,2964778,3
1,3010805,5
1,2921319,1
1,3040270,2
1,3034424,2
1,2975123,5
1,3005458,3
1,3024643,4
1,3030832,5
1,2950189,4
1,2344129,1
1,3035263,2
1,3025177,2
1,2765841,5
1,3004216,5
2,2760258,4
2,2919455,4
2,2923639,5
2,3023039,2
2,3042224,2
2,3031176,5
2,2970804,2
2,2995356,4
2,3029037,4
2,2745944,2
2,2942516,1
2,3010415,3
2,2969432,1
2,2962774,4
2,3002326,3
2,2996672,1
2,2772107,4
2,3037899,5
2,3037959,4
2,2797022,1
2,2222296,4
2,3041310,1
2,2967273,1
2,3016977,1
2,2965284,2
2,3027601,2
2,2607063,5
2,2975552,3
2,3007391,2
2,3017078,2
2,2450117,2
2,2860416,3
2,3041368,3
2,3005289,4
2,2484379,2
2,2972926,1
2,2158273,3
2,2817276,3
2,2851991,1
2,3027570,3
2,3034902,3
2,2405917,2
2,2950201,3
2,2829137,4
2,2985648,5
2,3005632,4
2,2628219,2
2,2742414,1
2,2686069,4
2,3020918,2
2,2965636,2
2,3034081,2
2,2826778,2
2,2507242,3
2,3031902,1
2,2979881,1
2,2590798,1
2,2994916,5
2,2460367,4
2,3021747,3
2,2964440,4
2,2794915,1
2,3015937,1
2,2975123,1
2,2719696,2
2,2825176,3
2,3037852,5
2,2976835,4
2,3021091,5
2,2529622,1
2,3011671,1
2,2930463,4
2,2989561,2
2,2518349,2
2,2458641,4
2,2468546,4
2,3026304,5
2,2737051,1
2,3019574,2
2,3007697,4
2,2766619,2
2,7389,1
2,2883201,3
2,3027933,3
2,2561144,5
2,3022272,3
2,2919158,5
2,3029370,2
2,2580658,4
2,3041543,2
2,3020082,4
2,3036144,4
2,2945152,5
2,2989428,5
3,3007164,2
3,3028463,3
3,3029393,2
3,2415361,2
3,3035598,4
3,2873922,4
3,3031708,5
3,2862639,3
3,3006701,2
3,2850149,1
3,1288271,1
3,3037897,2
3,3024561,3
3,3033202,1
3,2951076,1
3,2921432,3
3,2836387,4
3,2810814,2
3,2948128,3
3,2568135,1
3,3010951,2
3,2834528,4
3,2479436,1
3,2559171,4
3,2697973,1
3,3019230,2
3,2628392,3
3,3029370,3
3,3031654,1
3,2865279,1
3,2903493,3
3,3025332,4
3,3036729,4
3,2925041,2
3,3034472,5
3,3037879,3
3,2918327,3
3,2898803,5
4,2141859,3
4,2749336,5
4,3008422,1
4,2837628,3
4,2878914,1
4,3034437,4
4,2683202,2
4,2776116,1
4,2640391,2
4,2574322,4
4,3028079,3
4,3031321,4
4,3008361,3
4,3038500,1
4,2925484,3
4,2474872,2
4,2984804,4
4,2885230,5
4,3018679,2
4,2811006,2
4,2849770,5
4,2841362,1
4,2817662,2
4,3031783,1
5,3037198,3
5,3034459,4
5,3000316,2
5,2781218,2
5,2338976,1
5,2948153,3
5,2965274,5
5,2945464,3
5,3035506,5
5,3025709,4
5,3020918,2
5,2885841,1
5,3028282,2
5,3026299,2
5,2432029,3
5,2860556,4
5,2981516,4
5,2993900,3
5,2394927,4
5,3007825,3
5,3034552,1
5,2984754,3
5,3039610,4
6,3034093,5
6,2897970,1
6,2783907,3
6,3026992,3
6,2878020,2
6,2654825,5
6,3031328,3
6,3006355,3
6,3008630,2
6,3022975,4
6,2647680,2
6,2821290,4
6,2849277,2
7,3021933,4
7,2745761,5
7,2502924,2
8,2864947,2
8,3025167,1
8,3020534,3
8,2964417,5
8,2721985,3
8,2472955,4
8,2803069,3
8,2798567,4
8,3035454,5
8,2724518,4
8,3004186,2
8,3034133,3
8,2919299,3
8,2856583,2
8,3027759,1
8,2919050,4
8,3038765,2
8,3019284,2
8,2839851,1
8,2616797,2
8,2935614,1
8,3039249,3
8,2892900,3
8,3012601,2
8,3024322,1
8,2921982,1
8,2982772,3
8,3035454,2
8,3029397,4
8,3025178,3
8,3027057,1
8,3024306,2
8,3032378,4
8,2985323,4
8,2946371,2
8,2995829,1
8,3040193,4
8,2983202,4
8,3025781,2
8,3000967,1
8,2909336,1
8,2969959,4
8,2629346,5
8,2598900,1
9,2572623,5
9,2852551,2
9,2930076,3
9,2981333,1
9,2780772,1
9,2954368,4
9,2469367,3
9,2977989,1
9,3033951,3
9,3020082,2
9,2785530,2
9,3029749,2
9,2821386,2
9,2446973,5
9,2943158,4
9,3007930,5
9,3039712,2
9,3039915,4
9,2764502,3
9,3039708,5
9,2835097,2
9,3007588,3
9,2898803,5
9,3001683,5
9,2952553,5
9,2667985,3
9,3026308,2
9,2780772,4
9,2484123,2
10,3013263,5
10,3036776,2
11,3036609,1
11,3016420,2
11,3003065,1
11,3033676,1
11,2945438,3
11,3038701,4
11,3004014,1
11,2627844,5
11,3003280,4
11,2700366,4
11,2348161,4
11,2817574,5
11,2868951,5
11,3007238,1
11,3033244,3
11,2919893,5
11,2954184,2
11,3039954,2
11,3028283,5
11,3009057,3
11,3034457,2
11,2706066,2
11,2920881,2
11,2981569,1
11,2844943,5
11,3025406,5
11,2853688,1
11,2995353,1
11,3039724,4
11,3020273,4
11,2968359,4
11,2994039,2
12,2800258,3
12,2892264,1
12,3034231,5
12,3034394,1
12,2563855,4
12,2848443,2
12,2763712,5
12,3038770,4
12,2643253,2
12,2456339,4
12,3026712,1
12,3025401,1
12,3012622,4
12,2955744,3
12,2642501,3
12,3034713,1
12,3025674,2
12,2286776,5
12,2170130,3
12,2885005,5
12,2966317,2
12,2942844,2
12,2881074,3
12,2787400,2
12,2985680,1
12,2658685,5
12,2978970,1
12,3041252,1
12,2962809,5
12,2593780,5
12,3041275,4
12,3041709,1
12,2920519,4
12,2814088,4
12,2835007,1
12,2611614,1
12,2907135,3
12,3028913,4
12,3041832,5
12,2979876,5
12,2142706,5
12,2954787,5
12,2921465,5
12,2931557,4
12,2907263,3
12,2370962,4
12,2988658,4
12,2964357,2
12,3022969,1
12,3027098,5
12,2666056,3
12,2628067,3
12,3028808,5
12,3039954,1
12,2816823,3
12,2816382,3
12,2981538,2
12,3040276,5
12,2898717,5
12,2922977,5
12,3029687,5
12,2314155,1
12,2902246,2
12,2920889,5
12,2964399,4
12,3036609,1
12,3036115,5
12,2787275,5
12,3006150,3
12,2960450,1
12,2766292,2
12,2831384,4
12,3035493,2
13,2553479,3
13,2852250,1
13,2619918,2
13,2979863,5
13,2864954,2
13,3007936,5
13,2815919,5
13,2859509,3
13,3000404,3
13,2714274,3
13,2996587,3
13,2834524,5
13,2811437,2
13,3017515,1
13,2516810,1
13,3003598,3
13,2869449,4
13,3027057,5
13,3009055,4
13,2989704,2
13,3030756,2
13,3036707,4
13,2992743,4
13,3011822,4
13,2646397,3
13,2785934,3
13,3016169,5
13,2837398,4
13,3024101,5
13,2954226,5
13,3011326,4
13,2639927,1
13,2823897,5
13,2840858,5
13,2997179,5
13,2982765,4
13,3028252,5
13,3038046,4
13,3025166,2
13,3013230,1
13,2807699,3
13,2683202,5
13,2631370,5
13,2893485,2
13,3022740,2
13,3020089,3
13,3042335,4
13,3018661,3
14,3024677,5
14,3030191,5
14,2989136,5
14,2930319,3
14,2503840,1
14,3030907,1
14,2841859,2
14,3031748,4
14,2870547,4
14,3025710,4
14,2602437,1
15,2740375,3
15,3025144,3
15,2823704,4
15,3037590,4
15,3039281,4
15,3009646,4
15,2769608,5
15,2949863,2
15,3007070,4
15,3025270,1
15,3034537,2
15,3004756,2
15,2967872,1
16,3020550,1
16,2983212,5
16,2853688,4
16,2957531,4
16,2473014,1
16,3025488,3
16,3035471,5
16,2782035,1
16,2228476,3
16,2560765,2
16,3037760,2
16,2879259,3
16,2489054,5
16,2338979,4
16,2834848,4
17,2957857,3
17,3001587,1
17,3001571,3
17,2876540,1
17,3020076,5
17,3004547,4
17,3035105,1
17,3035780,2
17,2997177,5
17,2918460,1
17,2721292,5
17,2958402,4
17,3018104,5
17,3018583,1
17,2985001,1
17,2911235,5
17,2657329,4
17,3038039,4
17,2574347,1
17,3020559,1
17,2474872,5
17,2690735,2
17,2995786,3
17,3008633,3
17,2980697,1
17,2853781,1
17,2848337,1
17,2706832,2
17,2924970,1
17,2855366,2
17,2983142,1
17,2922964,5
17,2846191,1
17,2902505,4
17,2874670,4
17,2918541,2
17,2706580,2
17,3028009,1
17,2994040,2
17,2609055,5
17,3024926,3
17,3036123,2
17,2765575,3
